score_differential,params
1.0,"const    7.624491e-01
x1      -2.304123e-04
x2       2.176044e-07
x3      -1.270824e-11
dtype: float64"
0.0,"const    1.044248e-01
x1       2.100333e-03
x2      -3.334894e-06
x3       1.530774e-09
dtype: float64"
2.0,"const    8.169622e-01
x1       4.600620e-04
x2      -9.452618e-07
x3       5.650067e-10
dtype: float64"
3.0,"const    9.480157e-01
x1       4.988273e-05
x2      -6.665393e-08
x3       4.418700e-11
dtype: float64"
-1.0,"const    2.226827e-01
x1       2.326146e-04
x2      -3.331020e-07
x3       9.810179e-11
dtype: float64"
-2.0,"const    1.429680e-01
x1      -1.414651e-04
x2       3.362200e-07
x3      -2.445035e-10
dtype: float64"
-3.0,"const    4.006899e-02
x1      -1.849918e-04
x2       4.829388e-07
x3      -3.012680e-10
dtype: float64"
-4.0,"const    4.602580e-03
x1       1.259769e-05
x2      -1.108559e-08
x3       9.895079e-13
dtype: float64"
-5.0,"const    0.0
x1       0.0
x2       0.0
x3       0.0
dtype: float64"
4.0,"const    9.734654e-01
x1       1.117998e-04
x2      -1.584930e-07
x3       5.949557e-11
dtype: float64"
5.0,"const    1.000000e+00
x1      -1.460962e-17
x2       2.175816e-20
x3       5.729737e-19
dtype: float64"
