conferenceName,conferenceSequence,divisionName,divisionSequence,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,streakCode,streakCount,winPctg,team
Western,1,Central,1,18,23,1.277778,35,58,3.222222,0.916667,33,0.722222,13,0.611111,11,W,5,0.833333,Blackhawks
Western,2,Pacific,1,16,15,0.9375,42,57,3.5625,0.84375,27,0.5625,9,0.5,8,W,6,0.8125,Ducks
Eastern,1,Northeast,1,18,13,0.722222,39,52,2.888889,0.722222,26,0.611111,11,0.5,9,W,1,0.666667,Canadiens
Eastern,2,Atlantic,1,19,17,0.894737,48,65,3.421053,0.684211,26,0.631579,12,0.631579,12,W,2,0.684211,Penguins
Eastern,4,Northeast,2,15,11,0.733333,34,45,3.0,0.8,24,0.6,9,0.6,9,W,3,0.733333,Bruins
Western,3,Northwest,1,18,4,0.222222,48,52,2.888889,0.666667,24,0.444444,8,0.388889,7,L,1,0.555556,Canucks
Eastern,5,Atlantic,2,19,-1,-0.052632,49,48,2.526316,0.631579,24,0.526316,10,0.473684,9,L,2,0.526316,Devils
Eastern,6,Northeast,3,19,10,0.526316,36,46,2.421053,0.631579,24,0.473684,9,0.473684,9,W,4,0.578947,Senators
Western,4,Central,2,18,3,0.166667,52,55,3.055556,0.611111,22,0.444444,8,0.333333,6,W,1,0.555556,Blues
Eastern,7,Northeast,4,19,9,0.473684,44,53,2.789474,0.578947,22,0.578947,11,0.526316,10,L,1,0.578947,Maple Leafs
Western,5,Central,3,19,3,0.157895,54,57,3.0,0.552632,21,0.421053,8,0.421053,8,W,2,0.473684,Red Wings
Western,6,Central,4,19,-4,-0.210526,43,39,2.052632,0.552632,21,0.315789,6,0.210526,4,L,2,0.421053,Predators
Eastern,3,Southeast,1,17,-1,-0.058824,51,50,2.941176,0.558824,19,0.529412,9,0.470588,8,W,1,0.529412,Hurricanes
Western,7,Pacific,2,17,2,0.117647,39,41,2.411765,0.558824,19,0.352941,6,0.352941,6,L,2,0.470588,Sharks
Eastern,8,Southeast,2,18,11,0.611111,58,69,3.833333,0.527778,19,0.5,9,0.444444,8,L,1,0.5,Lightning
Western,8,Pacific,3,18,-1,-0.055556,48,47,2.611111,0.527778,19,0.444444,8,0.388889,7,W,1,0.5,Stars
Western,9,Pacific,4,18,1,0.055556,49,50,2.777778,0.527778,19,0.388889,7,0.333333,6,L,1,0.444444,Coyotes
Eastern,9,Atlantic,3,20,-4,-0.2,62,58,2.9,0.475,19,0.45,9,0.4,8,W,1,0.45,Flyers
Western,10,Pacific,5,16,1,0.0625,39,40,2.5,0.5625,18,0.4375,7,0.4375,7,W,3,0.5,Kings
Eastern,10,Atlantic,4,17,-3,-0.176471,44,41,2.411765,0.529412,18,0.411765,7,0.352941,6,L,1,0.470588,Rangers
Western,11,Northwest,2,17,-5,-0.294118,42,37,2.176471,0.529412,18,0.352941,6,0.294118,5,L,1,0.470588,Wild
Western,12,Northwest,3,17,-11,-0.647059,59,48,2.823529,0.5,17,0.411765,7,0.352941,6,W,2,0.411765,Flames
Western,13,Northwest,4,17,-6,-0.352941,46,40,2.352941,0.5,17,0.294118,5,0.176471,3,W,1,0.411765,Oilers
Eastern,11,Southeast,3,18,-9,-0.5,57,48,2.666667,0.472222,17,0.444444,8,0.333333,6,W,1,0.444444,Jets
Eastern,12,Atlantic,5,19,-8,-0.421053,64,56,2.947368,0.447368,17,0.368421,7,0.263158,5,L,1,0.421053,Islanders
Western,14,Northwest,5,17,-9,-0.529412,51,42,2.470588,0.470588,16,0.352941,6,0.294118,5,OT,1,0.411765,Avalanche
Eastern,13,Southeast,4,18,-23,-1.277778,65,42,2.333333,0.388889,14,0.222222,4,0.222222,4,L,2,0.277778,Panthers
Eastern,14,Southeast,5,17,-7,-0.411765,55,48,2.823529,0.382353,13,0.352941,6,0.294118,5,W,1,0.352941,Capitals
Eastern,15,Northeast,5,19,-15,-0.789474,63,48,2.526316,0.342105,13,0.263158,5,0.263158,5,L,4,0.315789,Sabres
Western,15,Central,5,19,-16,-0.842105,56,40,2.105263,0.315789,12,0.210526,4,0.210526,4,L,2,0.263158,Blue Jackets
